tract,population,ca,ca_pop,tract_pop_proport
17031842100,2630,23,20365,0.1291431377363123
17031740300,1985,74,7650,0.25947712418300656
17031440300,2531,44,16965,0.14918950781019746
17031150502,1495,15,23644,0.0632295719844358
17031030400,1004,77,21394,0.04692904552678321
17031700502,1464,70,16316,0.08972787447903897
17031611100,630,61,12807,0.049191848208011243
17031672000,1952,67,16129,0.1210242420484841
17031610300,1098,61,12807,0.08573436401967674
17031251200,2073,25,44880,0.04618983957219251
17031030300,1079,77,21394,0.05043470131812658
17031020701,714,2,22962,0.031094852364776587
17031540101,1734,54,3130,0.5539936102236421
17031252101,727,25,44880,0.01619875222816399
17031680600,590,68,13284,0.044414333032219214
17031612000,716,61,12807,0.05590692589989849
17031271300,535,27,9266,0.05773796676019857
17031081401,1491,8,44014,0.03387558504112328
17031081403,3707,8,44014,0.08422320170854727
17031081600,1692,8,44014,0.03844231380924251
17031834300,3639,45,5602,0.6495894323455909
17031690900,2222,69,15818,0.1404728789986092
17031400300,690,40,5444,0.12674504041146217
17031061500,873,6,42891,0.020353920402881722
17031230200,689,23,20365,0.03383255585563467
17031410800,1082,41,11097,0.0975038298639272
17031510100,1187,51,7045,0.16848828956706885
17031836000,1163,38,11594,0.10031050543384509
17031530503,2787,53,14663,0.19007024483393575
17031838100,747,28,24753,0.03017816022300327
17031191100,2088,19,22514,0.09274229368393
17031440700,790,44,16965,0.046566460359563806
17031030604,1148,77,21394,0.05365990464616247
17031611500,880,61,12807,0.06871242289372999
17031062600,922,6,42891,0.021496351215872792
17031843300,531,29,15705,0.033810888252149
17031210900,1185,21,12916,0.09174667079591205
17031420500,1122,42,12194,0.09201246514679351
17031671900,583,67,16129,0.03614607229214459
17031360200,772,36,3113,0.24799229039511725
17031243300,1025,24,35052,0.029242268629464795
17031842200,1589,8,44014,0.03610214931612669
17031140302,1193,14,14263,0.08364299235784899
17031240200,668,24,35052,0.019057400433641448
17031071000,1240,7,28647,0.04328550982650888
17031440800,818,44,16965,0.04821691718243443
17031720700,1821,72,9657,0.18856787822305063
17031420200,743,42,12194,0.06093160570772511
17031836300,670,41,11097,0.06037667838154456
17031242200,1691,24,35052,0.04824261097797558
17031151200,1369,15,23644,0.05790052444594823
17031150300,2918,15,23644,0.1234139739468787
17031430900,858,43,24231,0.03540918657917544
17031250600,2108,25,44880,0.04696969696969697
17031230600,2137,23,20365,0.10493493739258532
17031700301,1944,70,16316,0.11914684971806816
17031620400,1310,62,5222,0.25086173879739565
17031480300,773,48,7845,0.09853409815168897
17031691400,1813,69,15818,0.114616259957011
17031570400,442,57,3896,0.11344969199178645
17031580300,669,58,10883,0.061472020582559954
17031140702,1626,14,14263,0.11400126200659048
17031843400,558,29,15705,0.03553008595988539
17031292400,1000,29,15705,0.06367398917542184
17031630900,1301,63,9475,0.13730870712401055
17031835500,865,37,1358,0.6369661266568483
17031222800,371,22,29254,0.012682026389553566
17031060900,3223,6,42891,0.07514396959735142
17031320100,5405,32,15029,0.3596380331359372
17031841800,1357,69,15818,0.08578834239474017
17031040300,1257,4,16991,0.07398034253428286
17031700200,2033,70,16316,0.12460161804363815
17031839200,1340,35,8480,0.1580188679245283
17031071600,839,7,28647,0.02928753447132335
17031841400,752,29,15705,0.047882839859917224
17031660900,1889,66,19319,0.09777938816708939
17031261000,1161,26,8398,0.13824720171469398
17031170400,1557,17,16506,0.09432933478735006
17031630200,500,63,9475,0.052770448548812667
17031431200,1590,43,24231,0.06561842268168874
17031480100,1259,48,7845,0.16048438495857234
17031520200,1071,52,7840,0.13660714285714284
17031010201,2099,1,18966,0.11067172835600549
17031660400,1501,66,19319,0.07769553289507738
17031810400,2439,10,19095,0.12772977219167322
17031590600,1075,59,4827,0.22270561425315932
17031700100,1338,70,16316,0.08200539347879382
17031834700,935,68,13284,0.07038542607648299
17031190100,711,19,22514,0.03158035000444168
17031842500,975,69,15818,0.06163863952459224
17031030703,1170,77,21394,0.05468823034495653
17031271400,651,27,9266,0.07025685301100798
17031060200,977,6,42891,0.022778671516168893
17031842800,1565,58,10883,0.14380226040613803
17031580800,445,58,10883,0.040889460626665444
17031020902,1247,2,22962,0.054307116104868915
17031491200,1291,49,22197,0.05816101274947065
17031671800,660,67,16129,0.04092008184016368
17031260700,889,26,8398,0.10585853774708263
17031231500,2651,23,20365,0.1301743186840167
17031210800,347,21,12916,0.026865902756271293
17031841700,613,30,15726,0.038980033066259696
17031292500,1811,29,15705,0.11531359439668895
17031071300,1651,7,28647,0.057632561873843684
17031301702,871,30,15726,0.05538598499300521
17031690500,452,69,15818,0.02857504109242635
17031071400,2252,7,28647,0.07861207107201452
17031120100,1862,12,11826,0.15744968713005242
17031390400,1373,39,8613,0.15941019389295252
17031040600,1156,4,16991,0.06803601906891885
17031838200,426,28,24753,0.017210035147254877
17031030102,1360,77,21394,0.06356922501635973
17031490902,2731,49,22197,0.12303464432130468
17031210601,934,21,12916,0.07231340972437288
17031071200,905,7,28647,0.0315914406395085
17031837100,915,27,9266,0.09874811137491905
17031838700,2023,29,15705,0.12881248010187837
17031710800,2597,71,24558,0.10574965388060917
17031070600,1255,7,28647,0.04380912486473278
17031730201,3111,73,14261,0.2181473949933385
17031210502,1431,21,12916,0.1107928151130381
17031200200,1658,20,7592,0.2183877766069547
17031110200,1155,11,10726,0.10768226738765617
17031460700,985,46,13298,0.07407128891562641
17031460302,1603,46,13298,0.12054444277334937
17031220500,1295,22,29254,0.044267450605045465
17031180100,2317,18,4807,0.48200540877886416
17031835800,782,38,11594,0.06744868035190615
17031381500,234,38,11594,0.020182853199931
17031430700,1005,43,24231,0.04147579546861459
17031060500,619,6,42891,0.014431932106968828
17031770602,1424,76,10300,0.138252427184466
17031040100,1659,4,16991,0.09763992702018716
17031160602,1315,16,19181,0.0685574266200928
17031833100,3482,28,24753,0.14066981779986265
17031010502,1099,1,18966,0.05794579774333017
17031491000,2318,49,22197,0.1044285263774384
17031720200,1905,72,9657,0.19726623174899036
17031190601,1205,19,22514,0.05352225282046726
17031650500,1603,65,9939,0.16128383137136532
17031711400,1319,71,24558,0.05370958547112957
17031833000,1807,28,24753,0.07300125237344968
17031243200,892,24,35052,0.025447905968275706
17031250400,2747,25,44880,0.061207664884135475
17031170500,2055,17,16506,0.12450018175209016
17031690400,1656,69,15818,0.10469085851561512
17031241300,792,24,35052,0.022595001711742554
17031460301,1375,46,13298,0.10339900736952926
17031171100,1487,17,16506,0.09008845268387253
17031240300,624,24,35052,0.01780212256076686
17031243500,1532,24,35052,0.04370649321008787
17031251000,499,25,44880,0.011118538324420677
17031070300,1467,7,28647,0.0512095507382972
17031520100,554,52,7840,0.07066326530612245
17031220701,1139,22,29254,0.038934846516715665
17031140602,1336,14,14263,0.09366893360443104
17031301803,1145,30,15726,0.07280936029505278
17031530400,1139,53,14663,0.07767851053672509
17031671400,839,67,16129,0.052018104036208074
17031300900,1080,30,15726,0.0686760778328882
17031590500,600,59,4827,0.12430080795525171
17031230100,625,23,20365,0.030689909157868893
17031612100,604,61,12807,0.0471617084406965
17031161200,988,16,19181,0.05150930608414577
17031240700,621,24,35052,0.017716535433070866
