tract,population,ca,ca_pop,tract_pop_proport
17031460200,824,46,13298,0.06196420514363062
17031630300,1177,63,9475,0.12422163588390502
17031500200,993,50,3840,0.25859375
17031610800,604,61,12807,0.0471617084406965
17031081402,2268,8,44014,0.051529058935793154
17031031900,1096,3,22358,0.04902048483764201
17031220601,708,22,29254,0.02420181855472756
17031411200,711,41,11097,0.0640713706407137
17031831600,2490,18,4807,0.5179945912211359
17031140800,2340,14,14263,0.164060856762252
17031071800,1193,7,28647,0.04164484937340734
17031740200,2391,74,7650,0.31254901960784315
17031130200,626,13,6403,0.09776667187255973
17031440900,1481,44,16965,0.08729737695254937
17031230700,1944,23,20365,0.0954578934446354
17031020702,2086,2,22962,0.09084574514415121
17031710400,2902,71,24558,0.11816923202215164
17031020601,1694,2,22962,0.07377406149290132
17031620200,637,62,5222,0.12198391420911528
17031020802,1739,2,22962,0.07573382109572337
17031170800,1437,17,16506,0.08705925118138859
17031301200,980,30,15726,0.06231718173725041
17031242700,751,24,35052,0.021425310966563964
17031300700,1167,30,15726,0.07420831743609309
17031490300,1145,49,22197,0.05158354732621526
17031160100,958,16,19181,0.0499452583285543
17031400400,932,40,5444,0.17119764878765614
17031421200,658,42,12194,0.0539609644087256
17031340600,425,34,4289,0.09909069713219865
17031210400,910,21,12916,0.07045524930318985
17031980000,17,76,10300,0.0016504854368932038
17031241400,2135,24,35052,0.06090950587698277
17031840100,875,60,11308,0.07737884683409975
17031010503,795,1,18966,0.04191711483707687
17031520500,1717,52,7840,0.21900510204081633
17031030603,772,77,21394,0.036084883612227725
17031060400,1473,6,42891,0.03434286913338463
17031832300,826,22,29254,0.028235454980515485
17031720500,959,72,9657,0.09930620275447861
17031840000,1055,60,11308,0.0932967810399717
17031301600,1017,30,15726,0.06466997329263639
17031750200,1601,75,13774,0.11623348337447365
17031580400,1236,58,10883,0.11357162547091794
17031590700,847,59,4827,0.17547130723016366
17031670600,729,67,16129,0.04519809039618079
17031381800,615,38,11594,0.053044678281869935
17031560200,854,56,13660,0.06251830161054173
17031230300,276,23,20365,0.013552663884114902
17031160800,1795,16,19181,0.09358219070955633
17031580700,1526,58,10883,0.14021868969953138
17031161300,1381,16,19181,0.07199833168239403
17031630500,1409,63,9475,0.14870712401055408
17031660700,1021,66,19319,0.05284952637300067
17031831900,1312,6,42891,0.03058916789069968
17031510300,2979,51,7045,0.42285308729595456
17031010300,2438,1,18966,0.12854581883370242
17031221300,1346,22,29254,0.046010801941614825
17031831000,1033,22,29254,0.03531141040541464
17031222600,668,22,29254,0.022834484173104533
17031081202,1889,8,44014,0.042918162402871815
17031241200,761,24,35052,0.021710601392217276
17031480500,1857,48,7845,0.2367112810707457
17031550100,2507,55,3637,0.6893043717349464
17031843700,957,5,14463,0.0661688446380419
17031030706,1374,77,21394,0.0642236140974105
17031661100,2211,66,19319,0.11444691754231585
17031833900,915,46,13298,0.06880733944954129
17031711200,2796,71,24558,0.11385291961886147
17031161000,762,16,19181,0.03972681299202336
17031260300,712,26,8398,0.08478209097404144
17031062900,1642,6,42891,0.03828308969247628
17031040800,750,4,16991,0.04414101583191101
17031842300,1249,24,35052,0.03563277416409905
17031063200,3268,6,42891,0.07619314075213915
17031242400,1306,24,35052,0.037258929590322946
17031221200,1302,22,29254,0.04450673412182949
17031063000,1342,6,42891,0.03128861532722482
17031839100,3000,32,15029,0.1996140794464036
17031210602,1493,21,12916,0.11559306286776092
17031670300,640,67,16129,0.03968007936015872
17031660500,1528,66,19319,0.0790931207619442
17031030200,2500,77,21394,0.11685519304477891
17031190701,762,19,22514,0.03384560717775606
17031031502,1446,3,22358,0.06467483674747294
17031260800,1103,26,8398,0.13134079542748273
17031292200,1345,29,15705,0.08564151544094238
17031611400,859,61,12807,0.06707269462012962
17031430600,1012,43,24231,0.04176468160620692
17031500100,2129,50,3840,0.5544270833333333
17031470100,1413,47,1413,1
17031681000,1525,68,13284,0.1147997591087022
17031808100,1866,12,11826,0.15778792491121257
17031570500,687,57,3896,0.1763347022587269
17031821402,1755,NA,1755,1
17031491300,1281,49,22197,0.05771050141911069
17031242500,1380,24,35052,0.03937007874015748
17031841500,1310,29,15705,0.08341292581980261
17031831700,910,15,23644,0.03848756555574353
17031151100,1769,15,23644,0.07481813567924209
17031831500,1272,19,22514,0.056498178910899886
17031110300,2228,11,10726,0.20771955994779043
17031430800,898,43,24231,0.03705996450827453
17031530600,1608,53,14663,0.10966377958125895
17031835700,146,38,11594,0.01259272037260652
17031061902,2158,6,42891,0.050313585600708775
17031190800,1884,19,22514,0.08368126499067247
17031243400,1115,24,35052,0.03180988246034463
17031530200,2400,53,14663,0.1636772829571029
17031839900,1737,60,11308,0.1536080650866643
17031250800,1177,25,44880,0.026225490196078432
17031031700,2535,3,22358,0.11338223454691833
17031010501,1682,1,18966,0.08868501529051988
17031051200,642,5,14463,0.04438913088570836
17031051100,624,5,14463,0.04314457581414644
17031600600,912,60,11308,0.08065086664308455
17031839800,968,60,11308,0.08560311284046693
17031691500,933,69,15818,0.05898343659122519
17031832900,667,28,24753,0.026946228739950714
17031671200,672,67,16129,0.04166408332816666
17031071100,1114,7,28647,0.03888714350542814
17031160601,1249,16,19181,0.06511652155779156
17031140400,2338,14,14263,0.16392063380775432
17031301701,895,30,15726,0.05691212005595828
17031460100,1558,46,13298,0.11716047525943751
17031530501,2536,53,14663,0.17295232899133875
17031491400,1444,49,22197,0.06505383610397801
17031640800,534,64,8704,0.06135110294117647
17031660800,2174,66,19319,0.11253170453957244
17031140301,646,14,14263,0.04529201430274136
17031750600,1957,75,13774,0.1420792798025265
17031220300,929,22,29254,0.03175634101319478
17031281900,2357,28,24753,0.09522078131943602
17031030702,897,77,21394,0.04192764326446667
17031320600,2081,32,15029,0.13846563310932197
17031839000,3770,32,15029,0.2508483598376472
17031062000,1085,6,42891,0.025296682287659415
17031243000,947,24,35052,0.027017003309368938
17031031300,2807,3,22358,0.1255479023168441
17031251100,2095,25,44880,0.04668003565062388
17031730100,1432,73,14261,0.1004137157282098
17031190401,1400,19,22514,0.062183530247845786
17031100500,2681,10,19095,0.14040324692327835
17031570300,1756,57,3896,0.45071868583162217
17031220901,1047,22,29254,0.035789977438982705
17031410600,964,41,11097,0.0868703253131477
17031580502,1232,58,10883,0.11320407975741983
17031160502,1136,16,19181,0.05922527501173036
17031431301,1632,43,24231,0.06735173950724278
17031690300,1027,69,15818,0.06492603363257049
17031671500,1457,67,16129,0.09033418066836134
17031836800,1186,27,9266,0.12799481977120655
17031170600,1068,17,16506,0.06470374409305707
17031081100,1685,8,44014,0.03828327350388513
17031051000,647,5,14463,0.04473484062780889
17031030500,2490,77,21394,0.11638777227259979
17031062400,723,6,42891,0.016856683220255998
17031380200,1180,38,11594,0.10177678109366914
17031750400,1374,75,13774,0.09975315812400175
17031010701,1278,1,18966,0.06738373932299906
